! CMT, C1220, 16058040, 17.2.0/1
! Date: 26/07/2018 08:43:55
! Stimulus(Hz),    S21(dB)
1.00000000000E+09,-9.27333361782E+01
1.00500000000E+09,-9.12371764838E+01
1.01000000000E+09,-8.87584533120E+01
1.01500000000E+09,-8.66671285298E+01
1.02000000000E+09,-9.11270022714E+01
1.02500000000E+09,-8.72013791943E+01
1.03000000000E+09,-9.04212029507E+01
1.03500000000E+09,-8.66213500279E+01
1.04000000000E+09,-8.81039669623E+01
1.04500000000E+09,-9.36281560262E+01
1.05000000000E+09,-8.63564617212E+01
1.05500000000E+09,-9.15552603477E+01
1.06000000000E+09,-8.32063285616E+01
1.06500000000E+09,-8.98003802728E+01
1.07000000000E+09,-8.72777979788E+01
1.07500000000E+09,-9.76664252115E+01
1.08000000000E+09,-9.00507343682E+01
1.08500000000E+09,-8.57412322026E+01
1.09000000000E+09,-8.98364184512E+01
1.09500000000E+09,-9.13579559270E+01
1.10000000000E+09,-9.97983463309E+01
1.10500000000E+09,-8.81420474936E+01
1.11000000000E+09,-9.34055964623E+01
1.11500000000E+09,-9.09888661522E+01
1.12000000000E+09,-8.60997879423E+01
1.12500000000E+09,-9.15409121771E+01
1.13000000000E+09,-9.34374722042E+01
1.13500000000E+09,-8.73113930913E+01
1.14000000000E+09,-8.48365514533E+01
1.14500000000E+09,-8.68190015227E+01
1.15000000000E+09,-8.30298881740E+01
1.15500000000E+09,-1.06612634587E+02
1.16000000000E+09,-9.27219476030E+01
1.16500000000E+09,-8.55914391267E+01
1.17000000000E+09,-8.86381489338E+01
1.17500000000E+09,-8.50817419345E+01
1.18000000000E+09,-9.15616481430E+01
1.18500000000E+09,-8.83207703666E+01
1.19000000000E+09,-8.63515857949E+01
1.19500000000E+09,-8.35932818187E+01
1.20000000000E+09,-8.19826352974E+01
1.20500000000E+09,-7.97168527910E+01
1.21000000000E+09,-8.04837050309E+01
1.21500000000E+09,-8.22228477918E+01
1.22000000000E+09,-8.63684357420E+01
1.22500000000E+09,-8.84922371550E+01
1.23000000000E+09,-8.55709552050E+01
1.23500000000E+09,-8.10848400161E+01
1.24000000000E+09,-8.75654473328E+01
1.24500000000E+09,-8.66879421133E+01
1.25000000000E+09,-7.97534959076E+01
1.25500000000E+09,-8.11884590805E+01
1.26000000000E+09,-7.97735594669E+01
1.26500000000E+09,-8.02968144218E+01
1.27000000000E+09,-7.84266477168E+01
1.27500000000E+09,-7.79528323044E+01
1.28000000000E+09,-8.20123715069E+01
1.28500000000E+09,-8.32850261605E+01
1.29000000000E+09,-8.31558160044E+01
1.29500000000E+09,-7.90450557551E+01
1.30000000000E+09,-8.16072713155E+01
1.30500000000E+09,-8.74422734587E+01
