! CMT, C1220, 16058040, 17.2.0/1
! Date: 26/07/2018 09:42:49
! Stimulus(Hz),    S21(dB)
1.00000000000E+09,-8.47131832551E+01
1.00500000000E+09,-8.64677235763E+01
1.01000000000E+09,-8.66110759859E+01
1.01500000000E+09,-8.62213431758E+01
1.02000000000E+09,-9.00115312392E+01
1.02500000000E+09,-8.66739870813E+01
1.03000000000E+09,-8.84425613922E+01
1.03500000000E+09,-9.03457630141E+01
1.04000000000E+09,-8.74748645300E+01
1.04500000000E+09,-8.95900080664E+01
1.05000000000E+09,-9.44653759828E+01
1.05500000000E+09,-9.46892143036E+01
1.06000000000E+09,-8.67450918594E+01
1.06500000000E+09,-8.84918469417E+01
1.07000000000E+09,-8.57963119750E+01
1.07500000000E+09,-8.73750839773E+01
1.08000000000E+09,-8.49390497804E+01
1.08500000000E+09,-8.30327001662E+01
1.09000000000E+09,-9.05583065925E+01
1.09500000000E+09,-8.63297710335E+01
1.10000000000E+09,-8.32983021069E+01
1.10500000000E+09,-8.48937367287E+01
1.11000000000E+09,-9.17919459889E+01
1.11500000000E+09,-8.99414292857E+01
1.12000000000E+09,-8.98691870536E+01
1.12500000000E+09,-8.13468724579E+01
1.13000000000E+09,-8.84069518958E+01
1.13500000000E+09,-8.39588911299E+01
1.14000000000E+09,-8.22017789362E+01
1.14500000000E+09,-8.87442380560E+01
1.15000000000E+09,-8.95812992917E+01
1.15500000000E+09,-8.61787764310E+01
1.16000000000E+09,-8.67115642303E+01
1.16500000000E+09,-1.06496429161E+02
1.17000000000E+09,-9.58812629246E+01
1.17500000000E+09,-8.70578135819E+01
1.18000000000E+09,-8.50902301973E+01
1.18500000000E+09,-8.81122158830E+01
1.19000000000E+09,-8.48073597014E+01
1.19500000000E+09,-9.53823866267E+01
1.20000000000E+09,-8.65110920581E+01
1.20500000000E+09,-8.46254111577E+01
1.21000000000E+09,-9.25060401345E+01
1.21500000000E+09,-8.23164214582E+01
1.22000000000E+09,-9.13111811122E+01
1.22500000000E+09,-8.64872626142E+01
1.23000000000E+09,-8.05361867634E+01
1.23500000000E+09,-8.34761645366E+01
1.24000000000E+09,-8.04738216713E+01
1.24500000000E+09,-8.30098708837E+01
1.25000000000E+09,-8.47267613763E+01
1.25500000000E+09,-8.47366041522E+01
1.26000000000E+09,-8.65936003930E+01
1.26500000000E+09,-8.11162679394E+01
1.27000000000E+09,-8.04845580071E+01
1.27500000000E+09,-8.33510883308E+01
1.28000000000E+09,-8.53007419169E+01
1.28500000000E+09,-8.64536000145E+01
1.29000000000E+09,-8.54966527367E+01
1.29500000000E+09,-8.67399105692E+01
1.30000000000E+09,-9.09529507361E+01
1.30500000000E+09,-9.23229485578E+01
1.31000000000E+09,-9.07756539448E+01
1.31500000000E+09,-8.50883357797E+01
1.32000000000E+09,-8.95295379603E+01
1.32500000000E+09,-9.44713375379E+01
1.33000000000E+09,-8.43569803315E+01
1.33500000000E+09,-7.86253881784E+01
1.34000000000E+09,-7.54528717508E+01
1.34500000000E+09,-7.61997087198E+01
1.35000000000E+09,-7.68896409323E+01
1.35500000000E+09,-7.97712563284E+01
1.36000000000E+09,-7.83717948400E+01
1.36500000000E+09,-8.08835352409E+01
1.37000000000E+09,-8.17157832049E+01
1.37500000000E+09,-7.34975971594E+01
1.38000000000E+09,-7.10751631069E+01
1.38500000000E+09,-7.28752167230E+01
1.39000000000E+09,-7.47379723140E+01
1.39500000000E+09,-7.31823171450E+01
1.40000000000E+09,-7.30005920011E+01
1.40500000000E+09,-7.22501624417E+01
1.41000000000E+09,-6.94649238755E+01
1.41500000000E+09,-6.92441000837E+01
1.42000000000E+09,-6.76551685841E+01
1.42500000000E+09,-6.90290509925E+01
1.43000000000E+09,-6.79499277681E+01
1.43500000000E+09,-6.85335524088E+01
1.44000000000E+09,-6.90456647162E+01
1.44500000000E+09,-7.06294843245E+01
1.45000000000E+09,-6.88366628042E+01
1.45500000000E+09,-6.91196180727E+01
1.46000000000E+09,-6.31581261642E+01
1.46500000000E+09,-5.99469694292E+01
1.47000000000E+09,-5.88001993297E+01
1.47500000000E+09,-5.93072981665E+01
1.48000000000E+09,-6.30158693848E+01
1.48500000000E+09,-7.49156129691E+01
1.49000000000E+09,-6.12659946804E+01
1.49500000000E+09,-5.76723648759E+01
1.50000000000E+09,-5.79218244953E+01
1.50500000000E+09,-5.82015119599E+01
1.51000000000E+09,-5.90322138165E+01
1.51500000000E+09,-7.33704415257E+01
1.52000000000E+09,-6.41390546053E+01
1.52500000000E+09,-6.05611955950E+01
1.53000000000E+09,-5.77797977235E+01
1.53500000000E+09,-5.95894922454E+01
1.54000000000E+09,-5.60690926603E+01
1.54500000000E+09,-5.70574332184E+01
1.55000000000E+09,-5.88682784796E+01
1.55500000000E+09,-6.00996154632E+01
1.56000000000E+09,-6.46431116014E+01
1.56500000000E+09,-6.29800132328E+01
1.57000000000E+09,-5.96681709230E+01
1.57500000000E+09,-5.81634516498E+01
1.58000000000E+09,-5.74474915978E+01
1.58500000000E+09,-5.95800226020E+01
1.59000000000E+09,-6.04574942476E+01
1.59500000000E+09,-6.10280107793E+01
1.60000000000E+09,-6.15589959009E+01
1.60500000000E+09,-6.13621882831E+01
1.61000000000E+09,-6.13435322582E+01
1.61500000000E+09,-6.26139700366E+01
1.62000000000E+09,-6.44990990129E+01
1.62500000000E+09,-6.40687413574E+01
1.63000000000E+09,-6.22690730037E+01
1.63500000000E+09,-6.28788434854E+01
1.64000000000E+09,-6.28648323566E+01
1.64500000000E+09,-6.46435780602E+01
1.65000000000E+09,-6.57161767855E+01
1.65500000000E+09,-6.48658208600E+01
1.66000000000E+09,-6.44230314887E+01
1.66500000000E+09,-6.45191038038E+01
1.67000000000E+09,-6.49855986004E+01
1.67500000000E+09,-6.54776573333E+01
1.68000000000E+09,-6.65646777752E+01
1.68500000000E+09,-6.55675961402E+01
1.69000000000E+09,-6.62546605476E+01
1.69500000000E+09,-6.85232166129E+01
1.70000000000E+09,-6.82491564877E+01
1.70500000000E+09,-6.86418027577E+01
1.71000000000E+09,-6.83979956370E+01
1.71500000000E+09,-6.83540254012E+01
1.72000000000E+09,-6.82180748093E+01
1.72500000000E+09,-7.09280859431E+01
1.73000000000E+09,-7.17107797391E+01
1.73500000000E+09,-7.09356362398E+01
1.74000000000E+09,-7.20409569331E+01
1.74500000000E+09,-7.31783003090E+01
1.75000000000E+09,-7.10616778507E+01
1.75500000000E+09,-7.18195212688E+01
1.76000000000E+09,-7.28530522976E+01
1.76500000000E+09,-7.41911886152E+01
1.77000000000E+09,-7.44495195789E+01
1.77500000000E+09,-7.25080769436E+01
1.78000000000E+09,-7.39374105063E+01
1.78500000000E+09,-7.27668792225E+01
1.79000000000E+09,-7.24860853308E+01
1.79500000000E+09,-8.47821539950E+01
1.80000000000E+09,-7.17243198780E+01
1.80500000000E+09,-7.12601192927E+01
1.81000000000E+09,-6.73201449942E+01
1.81500000000E+09,-7.20784312178E+01
1.82000000000E+09,-7.49825962452E+01
1.82500000000E+09,-7.05700846815E+01
1.83000000000E+09,-7.95198856719E+01
1.83500000000E+09,-7.63533957165E+01
1.84000000000E+09,-7.37415167363E+01
1.84500000000E+09,-7.21045303661E+01
1.85000000000E+09,-7.34535629339E+01
1.85500000000E+09,-7.16373075655E+01
1.86000000000E+09,-7.39517283007E+01
1.86500000000E+09,-7.46451407720E+01
1.87000000000E+09,-7.35631133962E+01
1.87500000000E+09,-7.41882832946E+01
1.88000000000E+09,-7.39829443350E+01
1.88500000000E+09,-7.59512612334E+01
1.89000000000E+09,-7.68154341029E+01
1.89500000000E+09,-7.64824607726E+01
1.90000000000E+09,-7.58585854267E+01
1.90500000000E+09,-7.69297484207E+01
1.91000000000E+09,-7.51833237308E+01
1.91500000000E+09,-7.53916652750E+01
1.92000000000E+09,-7.82369482621E+01
1.92500000000E+09,-7.86240355608E+01
1.93000000000E+09,-7.79390359608E+01
1.93500000000E+09,-8.25050774048E+01
1.94000000000E+09,-7.89007340366E+01
1.94500000000E+09,-7.80673636145E+01
1.95000000000E+09,-7.79700954361E+01
1.95500000000E+09,-7.78999721453E+01
1.96000000000E+09,-8.22040601252E+01
1.96500000000E+09,-7.91901273845E+01
1.97000000000E+09,-8.28700750993E+01
1.97500000000E+09,-8.06222768366E+01
1.98000000000E+09,-8.21999802710E+01
1.98500000000E+09,-7.87479963982E+01
1.99000000000E+09,-7.69120646579E+01
1.99500000000E+09,-8.06921177334E+01
2.00000000000E+09,-7.92384171098E+01
