! CMT, C1220, 16058040, 17.2.0/1
! Date: 26/07/2018 08:37:29
! Stimulus(Hz),    S21(dB)
1.00000000000E+09,-8.42218288291E+01
1.00500000000E+09,-9.16619193857E+01
1.01000000000E+09,-1.02128083825E+02
1.01500000000E+09,-9.09740249898E+01
1.02000000000E+09,-8.65498635829E+01
1.02500000000E+09,-8.67975337901E+01
1.03000000000E+09,-9.39105020232E+01
1.03500000000E+09,-9.37243288812E+01
1.04000000000E+09,-9.05808579808E+01
1.04500000000E+09,-8.59501765709E+01
1.05000000000E+09,-8.74191585242E+01
1.05500000000E+09,-9.37525230852E+01
1.06000000000E+09,-8.91776096088E+01
1.06500000000E+09,-8.91451338094E+01
1.07000000000E+09,-9.13893866276E+01
1.07500000000E+09,-8.75845288383E+01
1.08000000000E+09,-1.03966554504E+02
1.08500000000E+09,-8.49513953253E+01
1.09000000000E+09,-8.61412702735E+01
1.09500000000E+09,-8.95751078774E+01
1.10000000000E+09,-9.26554125975E+01
1.10500000000E+09,-9.10415606999E+01
1.11000000000E+09,-9.37137680932E+01
1.11500000000E+09,-9.88648016642E+01
1.12000000000E+09,-9.26169743658E+01
1.12500000000E+09,-9.04675531106E+01
1.13000000000E+09,-8.96458182908E+01
1.13500000000E+09,-8.86500498204E+01
1.14000000000E+09,-9.05007574534E+01
1.14500000000E+09,-8.69279874835E+01
1.15000000000E+09,-8.68977188049E+01
1.15500000000E+09,-8.90833504657E+01
1.16000000000E+09,-9.69284155008E+01
1.16500000000E+09,-8.29083015674E+01
1.17000000000E+09,-8.70341714888E+01
1.17500000000E+09,-8.91066906324E+01
1.18000000000E+09,-8.65072373200E+01
1.18500000000E+09,-8.43348444397E+01
1.19000000000E+09,-8.42985052783E+01
1.19500000000E+09,-8.14999949805E+01
1.20000000000E+09,-8.55124991777E+01
1.20500000000E+09,-8.27008753804E+01
1.21000000000E+09,-8.20067495020E+01
1.21500000000E+09,-8.37094370493E+01
1.22000000000E+09,-8.03476512482E+01
1.22500000000E+09,-8.43976574036E+01
1.23000000000E+09,-8.13588636366E+01
1.23500000000E+09,-8.23061239352E+01
1.24000000000E+09,-8.44491935000E+01
1.24500000000E+09,-8.19929902490E+01
1.25000000000E+09,-7.97721521575E+01
1.25500000000E+09,-8.23977419808E+01
1.26000000000E+09,-7.97103413561E+01
1.26500000000E+09,-7.71063098528E+01
1.27000000000E+09,-7.82311762040E+01
1.27500000000E+09,-7.88941828870E+01
1.28000000000E+09,-7.93459201978E+01
1.28500000000E+09,-8.17602675588E+01
1.29000000000E+09,-7.97836672076E+01
1.29500000000E+09,-8.03603518578E+01
1.30000000000E+09,-8.07359729031E+01
1.30500000000E+09,-7.75842534767E+01
1.31000000000E+09,-7.89362759887E+01
1.31500000000E+09,-8.07405201391E+01
1.32000000000E+09,-7.91606614284E+01
1.32500000000E+09,-7.62025402725E+01
1.33000000000E+09,-7.49121326161E+01
