! CMT, C1220, 16058040, 17.2.0/1
! Date: 30/07/2018 14:50:16
! Stimulus(Hz),    S21(dB),           S21(°)
4.00000000000E+09,-6.96570896392E+01,-1.73702477130E+01
4.00500000000E+09,-6.45741934933E+01,-4.56111829757E+01
4.01000000000E+09,-6.33664346885E+01,-7.24267902903E+01
4.01500000000E+09,-6.28628604288E+01,-8.84466934095E+01
4.02000000000E+09,-6.16874941718E+01,-1.10876259399E+02
4.02500000000E+09,-6.32263198992E+01,-1.41996122029E+02
4.03000000000E+09,-6.53090004085E+01,-1.43854578975E+02
4.03500000000E+09,-6.34478006799E+01,-1.60711072511E+02
4.04000000000E+09,-6.66004803103E+01,+1.68400429441E+02
4.04500000000E+09,-6.80066641160E+01,+1.54852005338E+02
4.05000000000E+09,-7.85097568478E+01,+1.49396318288E+02
4.05500000000E+09,-6.96813433162E+01,-1.53479121666E+02
4.06000000000E+09,-6.73474319347E+01,-1.54804368993E+02
4.06500000000E+09,-6.27098897257E+01,+1.73165798704E+02
4.07000000000E+09,-6.18741957890E+01,+1.34748632044E+02
4.07500000000E+09,-6.43124741868E+01,+1.06744973161E+02
4.08000000000E+09,-6.49894272744E+01,+9.04600158604E+01
4.08500000000E+09,-6.75107981529E+01,+7.38436500063E+01
4.09000000000E+09,-6.93429731884E+01,+9.35177836526E+01
4.09500000000E+09,-6.50330800225E+01,+7.39433768774E+01
4.10000000000E+09,-6.56105701672E+01,+4.77610902283E+01
4.10500000000E+09,-6.63704099257E+01,+2.67444825152E+01
4.11000000000E+09,-7.08062017585E+01,+6.98092862879E+00
4.11500000000E+09,-7.12825187885E+01,+3.34250571942E+00
4.12000000000E+09,-7.52157876228E+01,-1.21822645817E+01
4.12500000000E+09,-7.84575061849E+01,+7.52220078307E+01
4.13000000000E+09,-6.86452498551E+01,+3.52500333120E+01
4.13500000000E+09,-6.61234367669E+01,+2.33845785777E+01
4.14000000000E+09,-6.30057096223E+01,-8.94361769415E+00
4.14500000000E+09,-6.36492599890E+01,-4.15825798450E+01
4.15000000000E+09,-6.40293391979E+01,-7.79479407846E+01
4.15500000000E+09,-7.20037786954E+01,-1.32807264611E+02
4.16000000000E+09,-7.97464900262E+01,-2.50578265496E+00
4.16500000000E+09,-6.74732688092E+01,-4.50104190528E+01
4.17000000000E+09,-7.48138660524E+01,-8.49381926382E+01
4.17500000000E+09,-6.66250428076E+01,-2.76866448244E+01
4.18000000000E+09,-6.29871307760E+01,-7.88424505246E+01
4.18500000000E+09,-6.41983906233E+01,-9.89003177035E+01
4.19000000000E+09,-6.28103981336E+01,-1.29253039226E+02
