! CMT, C1220, 16058040, 17.2.0/1
! Date: 26/07/2018 09:04:51
! Stimulus(Hz),    S21(dB)
1.00000000000E+09,-8.84263683083E+01
1.00500000000E+09,-9.14888340493E+01
1.01000000000E+09,-9.12701450090E+01
1.01500000000E+09,-9.55515609110E+01
1.02000000000E+09,-8.53621051808E+01
1.02500000000E+09,-8.79115341826E+01
1.03000000000E+09,-8.83556549454E+01
1.03500000000E+09,-8.66468090514E+01
1.04000000000E+09,-8.55853153335E+01
1.04500000000E+09,-8.78150849503E+01
1.05000000000E+09,-8.34323828649E+01
1.05500000000E+09,-9.05468857061E+01
1.06000000000E+09,-9.65262420390E+01
1.06500000000E+09,-9.24337993126E+01
1.07000000000E+09,-8.74194519171E+01
1.07500000000E+09,-8.94930887619E+01
1.08000000000E+09,-8.90833832413E+01
1.08500000000E+09,-1.01010852483E+02
1.09000000000E+09,-1.05177149619E+02
1.09500000000E+09,-8.84116471903E+01
1.10000000000E+09,-8.48255539007E+01
1.10500000000E+09,-9.72798052470E+01
1.11000000000E+09,-9.29449860645E+01
1.11500000000E+09,-9.24944553436E+01
1.12000000000E+09,-9.23845682430E+01
1.12500000000E+09,-8.21022483559E+01
1.13000000000E+09,-9.58558218837E+01
1.13500000000E+09,-9.65035943950E+01
1.14000000000E+09,-9.16211025626E+01
1.14500000000E+09,-9.29676417713E+01
1.15000000000E+09,-8.57782028204E+01
1.15500000000E+09,-9.37969594178E+01
1.16000000000E+09,-8.40285479578E+01
1.16500000000E+09,-9.12730028086E+01
1.17000000000E+09,-9.84688876994E+01
1.17500000000E+09,-8.03108020517E+01
1.18000000000E+09,-9.67654061036E+01
1.18500000000E+09,-1.04532709952E+02
1.19000000000E+09,-8.48513763142E+01
1.19500000000E+09,-8.82930943035E+01
1.20000000000E+09,-7.84168989943E+01
1.20500000000E+09,-8.03118428966E+01
1.21000000000E+09,-7.85333725895E+01
1.21500000000E+09,-9.14683037789E+01
1.22000000000E+09,-8.18287309272E+01
1.22500000000E+09,-8.20047149005E+01
1.23000000000E+09,-8.46157320591E+01
1.23500000000E+09,-8.52806006118E+01
1.24000000000E+09,-7.85945123468E+01
1.24500000000E+09,-8.24963292178E+01
1.25000000000E+09,-8.20297342108E+01
1.25500000000E+09,-8.57146834921E+01
1.26000000000E+09,-8.07824089611E+01
