! CMT, C1220, 16058040, 17.2.0/1
! Date: 25/07/2018 13:40:11
! Stimulus(Hz),    S21(dB)
1.00000000000E+09,-8.81617974547E+01
1.00500000000E+09,-8.96961084819E+01
1.01000000000E+09,-9.51566739459E+01
1.01500000000E+09,-8.73145348182E+01
1.02000000000E+09,-9.73347504611E+01
1.02500000000E+09,-8.47395843314E+01
1.03000000000E+09,-9.23178653963E+01
1.03500000000E+09,-8.70778462094E+01
1.04000000000E+09,-8.54946942763E+01
1.04500000000E+09,-8.78285431479E+01
1.05000000000E+09,-1.04074851769E+02
1.05500000000E+09,-9.69186609260E+01
1.06000000000E+09,-9.14931576149E+01
1.06500000000E+09,-9.62946876777E+01
1.07000000000E+09,-8.67455591588E+01
1.07500000000E+09,-8.40133106410E+01
1.08000000000E+09,-8.80255637033E+01
1.08500000000E+09,-8.52174480105E+01
1.09000000000E+09,-9.13010146836E+01
1.09500000000E+09,-8.70578938436E+01
1.10000000000E+09,-8.61286202620E+01
1.10500000000E+09,-8.89960899166E+01
1.11000000000E+09,-8.57128021310E+01
1.11500000000E+09,-8.93136112937E+01
1.12000000000E+09,-8.52606693503E+01
1.12500000000E+09,-9.34369707238E+01
1.13000000000E+09,-9.35542876988E+01
1.13500000000E+09,-8.68060302905E+01
1.14000000000E+09,-8.22813561815E+01
1.14500000000E+09,-8.00509357240E+01
1.15000000000E+09,-8.49266397295E+01
1.15500000000E+09,-8.71953396540E+01
1.16000000000E+09,-9.63432892955E+01
1.16500000000E+09,-9.07556300792E+01
1.17000000000E+09,-8.58933720522E+01
1.17500000000E+09,-9.28006875310E+01
1.18000000000E+09,-8.42217320332E+01
1.18500000000E+09,-9.17258391600E+01
1.19000000000E+09,-8.50330534206E+01
1.19500000000E+09,-8.23530826334E+01
1.20000000000E+09,-7.66660247120E+01
1.20500000000E+09,-7.66908171819E+01
1.21000000000E+09,-8.01309554429E+01
1.21500000000E+09,-8.18924036029E+01
1.22000000000E+09,-7.96494112907E+01
1.22500000000E+09,-8.75479295631E+01
1.23000000000E+09,-8.34998834054E+01
1.23500000000E+09,-8.22656914219E+01
1.24000000000E+09,-7.89606706355E+01
1.24500000000E+09,-8.03476831954E+01
1.25000000000E+09,-7.85177583696E+01
1.25500000000E+09,-7.87377553814E+01
1.26000000000E+09,-7.83428368849E+01
1.26500000000E+09,-7.72397516864E+01
1.27000000000E+09,-7.77091472632E+01
1.27500000000E+09,-7.76073548084E+01
1.28000000000E+09,-7.54570106272E+01
1.28500000000E+09,-7.54338386955E+01
1.29000000000E+09,-7.65732565630E+01
1.29500000000E+09,-7.53879759177E+01
1.30000000000E+09,-7.53049159105E+01
1.30500000000E+09,-7.38961896154E+01
1.31000000000E+09,-7.51879637778E+01
1.31500000000E+09,-7.43517933582E+01
1.32000000000E+09,-7.57736895449E+01
1.32500000000E+09,-7.33328977401E+01
1.33000000000E+09,-7.34436560154E+01
1.33500000000E+09,-7.18121059936E+01
1.34000000000E+09,-7.06294478303E+01
1.34500000000E+09,-7.04077857011E+01
1.35000000000E+09,-7.18137328917E+01
1.35500000000E+09,-7.05808475233E+01
1.36000000000E+09,-6.92253666886E+01
1.36500000000E+09,-6.86768244797E+01
1.37000000000E+09,-6.75440734693E+01
1.37500000000E+09,-6.76409007732E+01
1.38000000000E+09,-6.72967543180E+01
1.38500000000E+09,-6.70627011721E+01
1.39000000000E+09,-6.74161202209E+01
1.39500000000E+09,-6.67795564860E+01
1.40000000000E+09,-6.57228862718E+01
1.40500000000E+09,-6.56766166920E+01
1.41000000000E+09,-6.55772240847E+01
1.41500000000E+09,-6.43698099254E+01
1.42000000000E+09,-6.40124903283E+01
1.42500000000E+09,-6.51838289795E+01
1.43000000000E+09,-6.42901000930E+01
1.43500000000E+09,-6.36724825615E+01
1.44000000000E+09,-6.35756397737E+01
1.44500000000E+09,-6.14788494628E+01
1.45000000000E+09,-6.19030314684E+01
1.45500000000E+09,-5.99730769169E+01
1.46000000000E+09,-5.71064401238E+01
1.46500000000E+09,-5.52229530542E+01
1.47000000000E+09,-5.42493651472E+01
1.47500000000E+09,-5.35983749262E+01
1.48000000000E+09,-5.30819023391E+01
1.48500000000E+09,-5.38889739508E+01
1.49000000000E+09,-5.33638578401E+01
1.49500000000E+09,-5.15560479819E+01
1.50000000000E+09,-5.03156884726E+01
1.50500000000E+09,-5.00689562462E+01
1.51000000000E+09,-4.96865202688E+01
1.51500000000E+09,-4.77526196510E+01
1.52000000000E+09,-4.73631448938E+01
1.52500000000E+09,-4.67060472675E+01
1.53000000000E+09,-4.71042275823E+01
1.53500000000E+09,-4.74296061415E+01
1.54000000000E+09,-4.64570360730E+01
1.54500000000E+09,-4.60382542180E+01
1.55000000000E+09,-4.64776760829E+01
1.55500000000E+09,-4.76472747395E+01
1.56000000000E+09,-4.80521591300E+01
1.56500000000E+09,-4.95584711904E+01
1.57000000000E+09,-4.94674598865E+01
1.57500000000E+09,-4.89548409861E+01
1.58000000000E+09,-4.99560986314E+01
1.58500000000E+09,-5.13136051179E+01
1.59000000000E+09,-5.13040061349E+01
1.59500000000E+09,-5.28318344491E+01
1.60000000000E+09,-5.32887083944E+01
1.60500000000E+09,-5.34378610038E+01
1.61000000000E+09,-5.42579538012E+01
1.61500000000E+09,-5.52737032211E+01
1.62000000000E+09,-5.62708722457E+01
1.62500000000E+09,-5.72161114899E+01
1.63000000000E+09,-5.75863990408E+01
1.63500000000E+09,-5.70177378008E+01
1.64000000000E+09,-5.72739795420E+01
1.64500000000E+09,-5.79050663909E+01
1.65000000000E+09,-5.82443416650E+01
