! CMT, C1220, 16058040, 17.2.0/1
! Date: 25/07/2018 13:49:23
! Stimulus(Hz),    S21(dB)
1.00000000000E+09,-8.98856219056E+01
1.00500000000E+09,-8.72359723389E+01
1.01000000000E+09,-9.57890593284E+01
1.01500000000E+09,-8.81346435971E+01
1.02000000000E+09,-9.48062016438E+01
1.02500000000E+09,-8.42171194630E+01
1.03000000000E+09,-9.37976263550E+01
1.03500000000E+09,-9.83232362031E+01
1.04000000000E+09,-1.03119473796E+02
1.04500000000E+09,-9.31684421095E+01
1.05000000000E+09,-9.15861534057E+01
1.05500000000E+09,-1.00416139354E+02
1.06000000000E+09,-8.29131153856E+01
1.06500000000E+09,-9.09925114526E+01
1.07000000000E+09,-8.41707072142E+01
1.07500000000E+09,-9.58905409685E+01
1.08000000000E+09,-9.44139339382E+01
1.08500000000E+09,-9.16045064586E+01
1.09000000000E+09,-9.05280893310E+01
1.09500000000E+09,-1.08156210585E+02
1.10000000000E+09,-8.57825135790E+01
1.10500000000E+09,-8.51230538865E+01
1.11000000000E+09,-8.59848368091E+01
1.11500000000E+09,-8.54017986223E+01
1.12000000000E+09,-9.27921385290E+01
1.12500000000E+09,-9.33429598670E+01
1.13000000000E+09,-1.04252182882E+02
1.13500000000E+09,-9.18146425728E+01
1.14000000000E+09,-9.19781370712E+01
1.14500000000E+09,-8.59407029505E+01
1.15000000000E+09,-9.38402638206E+01
1.15500000000E+09,-8.47469656460E+01
1.16000000000E+09,-9.29284730772E+01
1.16500000000E+09,-1.03569297062E+02
1.17000000000E+09,-9.59024786823E+01
1.17500000000E+09,-8.95558177351E+01
1.18000000000E+09,-8.81931716182E+01
1.18500000000E+09,-8.15240719595E+01
1.19000000000E+09,-8.53603497889E+01
1.19500000000E+09,-8.52216786272E+01
1.20000000000E+09,-8.05970265857E+01
1.20500000000E+09,-7.86021664441E+01
1.21000000000E+09,-8.03978507126E+01
1.21500000000E+09,-8.52640695484E+01
1.22000000000E+09,-8.52523572076E+01
1.22500000000E+09,-8.14174459152E+01
1.23000000000E+09,-8.33429706850E+01
1.23500000000E+09,-8.50107908250E+01
1.24000000000E+09,-7.69990401102E+01
1.24500000000E+09,-8.11689686383E+01
1.25000000000E+09,-8.05738599271E+01
1.25500000000E+09,-8.06779277044E+01
1.26000000000E+09,-7.94820491237E+01
1.26500000000E+09,-7.84711675155E+01
1.27000000000E+09,-8.09309029618E+01
1.27500000000E+09,-7.78650094197E+01
1.28000000000E+09,-7.86296057035E+01
1.28500000000E+09,-7.77251303409E+01
1.29000000000E+09,-7.74750032339E+01
1.29500000000E+09,-7.66287835911E+01
1.30000000000E+09,-7.70357647430E+01
1.30500000000E+09,-7.50491613928E+01
1.31000000000E+09,-7.48104960240E+01
1.31500000000E+09,-7.63887857103E+01
1.32000000000E+09,-7.56419920372E+01
1.32500000000E+09,-7.46225544023E+01
1.33000000000E+09,-7.31828915090E+01
1.33500000000E+09,-7.24255186752E+01
1.34000000000E+09,-7.07252999563E+01
1.34500000000E+09,-7.05239301922E+01
1.35000000000E+09,-7.00742588406E+01
1.35500000000E+09,-7.00121762536E+01
1.36000000000E+09,-6.89051633055E+01
1.36500000000E+09,-6.74358324848E+01
1.37000000000E+09,-6.57506519692E+01
1.37500000000E+09,-6.53219889598E+01
1.38000000000E+09,-6.46067957367E+01
1.38500000000E+09,-6.55362074779E+01
1.39000000000E+09,-6.44448934501E+01
1.39500000000E+09,-6.40305445930E+01
1.40000000000E+09,-6.26061125194E+01
1.40500000000E+09,-6.17083699726E+01
1.41000000000E+09,-6.15353716987E+01
1.41500000000E+09,-6.09995565544E+01
1.42000000000E+09,-6.11588173340E+01
1.42500000000E+09,-6.09100866757E+01
1.43000000000E+09,-6.01121259899E+01
1.43500000000E+09,-5.92032556797E+01
1.44000000000E+09,-5.90614877611E+01
1.44500000000E+09,-5.76557784036E+01
1.45000000000E+09,-5.70432479069E+01
1.45500000000E+09,-5.55495309189E+01
1.46000000000E+09,-5.43493597838E+01
1.46500000000E+09,-5.27812748238E+01
1.47000000000E+09,-5.22163599551E+01
1.47500000000E+09,-5.15563511900E+01
1.48000000000E+09,-5.03491497412E+01
1.48500000000E+09,-4.94759504544E+01
1.49000000000E+09,-4.91959537323E+01
1.49500000000E+09,-4.77516691061E+01
1.50000000000E+09,-4.66214595198E+01
1.50500000000E+09,-4.62365895793E+01
1.51000000000E+09,-4.59935526574E+01
1.51500000000E+09,-4.49314028139E+01
1.52000000000E+09,-4.42293667851E+01
1.52500000000E+09,-4.35354488296E+01
1.53000000000E+09,-4.33234981775E+01
1.53500000000E+09,-4.43217005855E+01
1.54000000000E+09,-4.50788587779E+01
1.54500000000E+09,-4.50639964170E+01
1.55000000000E+09,-4.57441035381E+01
1.55500000000E+09,-4.69183934751E+01
1.56000000000E+09,-4.78723539442E+01
1.56500000000E+09,-4.87242003913E+01
1.57000000000E+09,-5.07047308730E+01
1.57500000000E+09,-5.02146440594E+01
1.58000000000E+09,-5.08296748164E+01
1.58500000000E+09,-5.34215941805E+01
1.59000000000E+09,-5.38984032378E+01
1.59500000000E+09,-5.43564808849E+01
1.60000000000E+09,-5.55544756068E+01
1.60500000000E+09,-5.57201130768E+01
1.61000000000E+09,-5.60038819572E+01
1.61500000000E+09,-5.67563030941E+01
1.62000000000E+09,-5.77083245274E+01
1.62500000000E+09,-5.85796081364E+01
1.63000000000E+09,-6.15577224193E+01
1.63500000000E+09,-6.19561933536E+01
1.64000000000E+09,-6.13269704020E+01
1.64500000000E+09,-6.08967474724E+01
1.65000000000E+09,-6.14737239735E+01
1.65500000000E+09,-6.47090571046E+01
1.66000000000E+09,-6.69789272709E+01
1.66500000000E+09,-6.66330575551E+01
1.67000000000E+09,-6.61301469409E+01
1.67500000000E+09,-6.73548504669E+01
1.68000000000E+09,-6.65976157642E+01
1.68500000000E+09,-6.67087042817E+01
1.69000000000E+09,-6.74530062159E+01
1.69500000000E+09,-6.87965220822E+01
1.70000000000E+09,-7.18393335168E+01
1.70500000000E+09,-7.09431175736E+01
1.71000000000E+09,-7.06739039664E+01
1.71500000000E+09,-6.92746491727E+01
1.72000000000E+09,-6.87317574559E+01
1.72500000000E+09,-6.78961206814E+01
1.73000000000E+09,-6.89573466742E+01
1.73500000000E+09,-7.32021717590E+01
1.74000000000E+09,-7.48184361736E+01
1.74500000000E+09,-7.25307626510E+01
1.75000000000E+09,-6.98087784562E+01
1.75500000000E+09,-7.01205507729E+01
1.76000000000E+09,-6.96310495617E+01
1.76500000000E+09,-7.01689164032E+01
1.77000000000E+09,-7.19779582931E+01
1.77500000000E+09,-7.08492689607E+01
1.78000000000E+09,-7.03151604984E+01
1.78500000000E+09,-6.99106311393E+01
1.79000000000E+09,-7.07374141107E+01
1.79500000000E+09,-7.22316791937E+01
1.80000000000E+09,-7.19750543151E+01
1.80500000000E+09,-7.07873851323E+01
1.81000000000E+09,-7.05371374664E+01
1.81500000000E+09,-7.17116290730E+01
1.82000000000E+09,-6.91836024181E+01
1.82500000000E+09,-6.71645603317E+01
1.83000000000E+09,-7.22848508145E+01
1.83500000000E+09,-7.34490936758E+01
1.84000000000E+09,-7.15090940974E+01
1.84500000000E+09,-7.15946593644E+01
1.85000000000E+09,-7.18645865166E+01
1.85500000000E+09,-7.25626515414E+01
1.86000000000E+09,-7.40611231183E+01
1.86500000000E+09,-7.44481643575E+01
1.87000000000E+09,-7.15763864779E+01
1.87500000000E+09,-7.33917375618E+01
1.88000000000E+09,-7.40371466884E+01
1.88500000000E+09,-7.25624047294E+01
1.89000000000E+09,-7.65801778041E+01
1.89500000000E+09,-7.70798898196E+01
1.90000000000E+09,-7.65407953358E+01
1.90500000000E+09,-7.34381734740E+01
1.91000000000E+09,-7.27537207092E+01
1.91500000000E+09,-7.27856878717E+01
1.92000000000E+09,-7.45729477830E+01
1.92500000000E+09,-7.43002047280E+01
1.93000000000E+09,-7.39528579191E+01
1.93500000000E+09,-7.63651978961E+01
1.94000000000E+09,-7.75636750795E+01
1.94500000000E+09,-7.65696778094E+01
1.95000000000E+09,-7.48890357182E+01
1.95500000000E+09,-7.58842116493E+01
1.96000000000E+09,-7.68921205211E+01
1.96500000000E+09,-7.74161535076E+01
1.97000000000E+09,-7.72072912111E+01
1.97500000000E+09,-7.91585797171E+01
1.98000000000E+09,-8.12544270984E+01
1.98500000000E+09,-8.20742738054E+01
1.99000000000E+09,-7.81279645313E+01
1.99500000000E+09,-7.81359299179E+01
2.00000000000E+09,-7.85417524980E+01
