! CMT, C1220, 16058040, 17.2.0/1
! Date: 02/08/2018 15:05:48
! Stimulus(Hz),    S21(dB),           S21(°)
1.00000000000E+09,-8.72281718394E+01,-1.06005488509E+01
1.00500000000E+09,-9.72476830394E+01,-1.43825425291E+02
1.01000000000E+09,-8.88317628643E+01,-1.85020111639E+00
1.01500000000E+09,-8.81699655750E+01,-7.20645619382E+01
1.02000000000E+09,-9.17101072041E+01,+1.17802120198E+02
1.02500000000E+09,-9.18444689903E+01,-4.56084833887E+01
1.03000000000E+09,-8.57887854729E+01,-1.52147659188E+02
1.03500000000E+09,-8.73687007105E+01,-1.16800128269E+02
1.04000000000E+09,-9.26343114859E+01,-6.68400572873E+01
1.04500000000E+09,-9.84972840465E+01,-1.34636048561E+02
1.05000000000E+09,-9.73372127221E+01,+1.69577593798E+02
1.05500000000E+09,-8.77932616856E+01,-1.32527444085E+02
1.06000000000E+09,-1.01936926448E+02,+4.12470329743E+01
1.06500000000E+09,-9.14586449044E+01,-9.13195594501E+01
1.07000000000E+09,-8.88014268059E+01,+1.09807153023E+01
1.07500000000E+09,-1.00218912566E+02,+1.54204541377E+02
1.08000000000E+09,-9.00679596815E+01,-1.29073281988E+02
1.08500000000E+09,-8.75015479136E+01,-4.67241994197E+01
1.09000000000E+09,-8.84375253307E+01,-6.35714477992E+01
1.09500000000E+09,-8.72367141128E+01,-1.14787468247E+02
1.10000000000E+09,-1.01681045016E+02,+8.66638690438E+01
1.10500000000E+09,-9.52695813235E+01,+1.69502614935E+02
1.11000000000E+09,-9.51781108366E+01,+2.94491566034E+01
1.11500000000E+09,-8.56461050377E+01,+7.54372084135E+01
1.12000000000E+09,-8.81853801048E+01,+3.75111891407E+01
1.12500000000E+09,-9.51651423181E+01,+1.24558309399E+02
1.13000000000E+09,-9.04866109687E+01,+1.69304493242E+01
1.13500000000E+09,-9.49244043165E+01,-5.25407762837E+01
1.14000000000E+09,-1.24503972096E+02,-1.31777521451E+02
1.14500000000E+09,-9.29439897528E+01,+8.68239306403E+01
1.15000000000E+09,-9.45412094251E+01,-1.48439565282E+02
1.15500000000E+09,-8.71466360109E+01,+6.79002404163E+01
1.16000000000E+09,-9.59351213378E+01,-1.37251337084E+02
1.16500000000E+09,-8.66496078386E+01,-1.73899944428E+01
1.17000000000E+09,-8.51671971766E+01,+4.17734192582E+01
1.17500000000E+09,-8.67810395630E+01,+1.20304038065E+02
1.18000000000E+09,-9.95647619486E+01,+1.77890524382E+02
1.18500000000E+09,-9.03366352919E+01,+8.12625608340E+01
1.19000000000E+09,-9.30834200241E+01,+6.69751096360E+01
1.19500000000E+09,-8.74091575277E+01,+7.83134233519E+01
1.20000000000E+09,-9.08726040254E+01,+2.01918511012E+01
1.20500000000E+09,-8.25726055903E+01,+5.39617819330E+00
1.21000000000E+09,-8.65482001103E+01,-1.50423441074E+01
1.21500000000E+09,-9.09369861944E+01,+1.14867224590E+02
1.22000000000E+09,-9.33686554981E+01,-1.02687222219E+01
1.22500000000E+09,-9.69804612336E+01,+1.66149802873E+02
