! CMT, C1220, 16058040, 17.2.0/1
! Date: 26/07/2018 09:30:50
! Stimulus(Hz),    S21(dB)
1.00000000000E+09,-8.80276184612E+01
1.00500000000E+09,-9.30827909666E+01
1.01000000000E+09,-8.58180571242E+01
1.01500000000E+09,-9.11887118020E+01
1.02000000000E+09,-9.51582670853E+01
1.02500000000E+09,-1.10680339104E+02
1.03000000000E+09,-1.02186373758E+02
1.03500000000E+09,-8.82490554207E+01
1.04000000000E+09,-9.12361958409E+01
1.04500000000E+09,-9.38895909643E+01
1.05000000000E+09,-8.51998316020E+01
1.05500000000E+09,-8.65837209892E+01
1.06000000000E+09,-1.00723826133E+02
1.06500000000E+09,-8.72246612897E+01
1.07000000000E+09,-8.36439956158E+01
1.07500000000E+09,-9.16493608104E+01
1.08000000000E+09,-9.71635156568E+01
1.08500000000E+09,-9.28108815884E+01
1.09000000000E+09,-8.84227847991E+01
1.09500000000E+09,-8.40810579991E+01
1.10000000000E+09,-9.09803201463E+01
1.10500000000E+09,-9.21932629249E+01
1.11000000000E+09,-8.77103592328E+01
1.11500000000E+09,-8.64774746482E+01
1.12000000000E+09,-8.71566893677E+01
1.12500000000E+09,-8.72936756088E+01
1.13000000000E+09,-9.05022451090E+01
1.13500000000E+09,-8.91422058254E+01
1.14000000000E+09,-8.59403475162E+01
1.14500000000E+09,-9.01943037861E+01
1.15000000000E+09,-8.41124206172E+01
1.15500000000E+09,-8.35389698494E+01
1.16000000000E+09,-8.90308909580E+01
1.16500000000E+09,-8.99614330075E+01
1.17000000000E+09,-8.86092804628E+01
1.17500000000E+09,-9.15893534861E+01
1.18000000000E+09,-8.49366874483E+01
1.18500000000E+09,-8.86205695822E+01
1.19000000000E+09,-9.35957248737E+01
1.19500000000E+09,-8.43925714377E+01
1.20000000000E+09,-8.50610199316E+01
1.20500000000E+09,-8.11628769333E+01
1.21000000000E+09,-7.87366289441E+01
1.21500000000E+09,-9.20402728722E+01
1.22000000000E+09,-8.41117934247E+01
1.22500000000E+09,-8.71057828430E+01
1.23000000000E+09,-8.40950954350E+01
1.23500000000E+09,-8.51072205790E+01
1.24000000000E+09,-8.28814337623E+01
1.24500000000E+09,-8.68195666230E+01
1.25000000000E+09,-8.04500878463E+01
1.25500000000E+09,-8.46214355143E+01
1.26000000000E+09,-8.37839054223E+01
1.26500000000E+09,-8.12921930862E+01
1.27000000000E+09,-8.54908935019E+01
1.27500000000E+09,-8.45998159756E+01
1.28000000000E+09,-9.19722827479E+01
1.28500000000E+09,-8.26020829566E+01
1.29000000000E+09,-8.22160279396E+01
1.29500000000E+09,-7.98385301221E+01
1.30000000000E+09,-8.65962915007E+01
1.30500000000E+09,-8.90158824615E+01
1.31000000000E+09,-8.05658203784E+01
1.31500000000E+09,-7.91328055175E+01
1.32000000000E+09,-7.76367759424E+01
1.32500000000E+09,-7.69607960385E+01
1.33000000000E+09,-7.83802268992E+01
1.33500000000E+09,-7.61595577767E+01
1.34000000000E+09,-7.38552766363E+01
1.34500000000E+09,-7.20386511368E+01
1.35000000000E+09,-7.35630818764E+01
1.35500000000E+09,-7.34813187586E+01
1.36000000000E+09,-7.27507364908E+01
1.36500000000E+09,-7.08778005282E+01
1.37000000000E+09,-6.91426796305E+01
1.37500000000E+09,-6.85934562163E+01
1.38000000000E+09,-6.83247036393E+01
1.38500000000E+09,-6.71338625428E+01
1.39000000000E+09,-6.83939180679E+01
1.39500000000E+09,-6.65629520383E+01
1.40000000000E+09,-6.59591491157E+01
1.40500000000E+09,-6.46927090368E+01
1.41000000000E+09,-6.43934888142E+01
