! CMT, C1220, 16058040, 17.2.0/1
! Date: 25/07/2018 15:11:47
! Stimulus(Hz),    S21(dB)
1.00000000000E+09,-8.92436614168E+01
1.00500000000E+09,-8.66068782874E+01
1.01000000000E+09,-8.63042595627E+01
1.01500000000E+09,-1.00635677094E+02
1.02000000000E+09,-9.13404582163E+01
1.02500000000E+09,-9.01249340334E+01
1.03000000000E+09,-9.01916783090E+01
1.03500000000E+09,-9.06061807396E+01
1.04000000000E+09,-8.89509315702E+01
1.04500000000E+09,-8.77436302450E+01
1.05000000000E+09,-9.78250815966E+01
1.05500000000E+09,-8.42508063978E+01
1.06000000000E+09,-8.84360390538E+01
1.06500000000E+09,-8.51284828865E+01
1.07000000000E+09,-8.48456899974E+01
1.07500000000E+09,-9.46194148324E+01
1.08000000000E+09,-8.96310489239E+01
1.08500000000E+09,-8.98255657045E+01
1.09000000000E+09,-9.20630554409E+01
1.09500000000E+09,-9.27426801479E+01
1.10000000000E+09,-8.93624935816E+01
1.10500000000E+09,-9.07381131930E+01
1.11000000000E+09,-9.23747046266E+01
1.11500000000E+09,-8.79446497236E+01
1.12000000000E+09,-9.76522715830E+01
1.12500000000E+09,-8.74033936355E+01
1.13000000000E+09,-9.11655966589E+01
1.13500000000E+09,-8.46225947844E+01
1.14000000000E+09,-9.23366125038E+01
1.14500000000E+09,-9.84513937442E+01
1.15000000000E+09,-9.36124509907E+01
1.15500000000E+09,-8.69870148578E+01
1.16000000000E+09,-8.42591720906E+01
1.16500000000E+09,-8.75592585502E+01
1.17000000000E+09,-8.66940219943E+01
1.17500000000E+09,-8.58520442576E+01
1.18000000000E+09,-8.75099412028E+01
1.18500000000E+09,-8.00890583262E+01
1.19000000000E+09,-8.72495187036E+01
1.19500000000E+09,-8.36806751312E+01
1.20000000000E+09,-7.90590752906E+01
1.20500000000E+09,-8.07044244497E+01
1.21000000000E+09,-8.37820543582E+01
1.21500000000E+09,-8.92359107350E+01
1.22000000000E+09,-8.79188701940E+01
1.22500000000E+09,-8.63595177674E+01
1.23000000000E+09,-8.09533881587E+01
1.23500000000E+09,-8.32931269159E+01
1.24000000000E+09,-7.95665608221E+01
1.24500000000E+09,-8.07190528211E+01
1.25000000000E+09,-8.09163958297E+01
1.25500000000E+09,-8.30256677546E+01
1.26000000000E+09,-8.01682889218E+01
1.26500000000E+09,-8.03300097064E+01
1.27000000000E+09,-8.18285324400E+01
1.27500000000E+09,-7.91473640382E+01
1.28000000000E+09,-7.77450814358E+01
1.28500000000E+09,-7.61483357903E+01
1.29000000000E+09,-7.86500974135E+01
1.29500000000E+09,-7.88809112124E+01
1.30000000000E+09,-7.78877432132E+01
1.30500000000E+09,-7.66425157300E+01
1.31000000000E+09,-7.62030315108E+01
1.31500000000E+09,-7.38838703349E+01
1.32000000000E+09,-7.54859528146E+01
1.32500000000E+09,-7.14182977691E+01
1.33000000000E+09,-7.16819713062E+01
1.33500000000E+09,-7.09752328855E+01
1.34000000000E+09,-7.17364709781E+01
1.34500000000E+09,-7.19157044178E+01
1.35000000000E+09,-7.28946545530E+01
1.35500000000E+09,-7.33770109637E+01
1.36000000000E+09,-7.09540914224E+01
1.36500000000E+09,-6.80887112730E+01
1.37000000000E+09,-6.69118007100E+01
1.37500000000E+09,-6.59227792222E+01
1.38000000000E+09,-6.64887789040E+01
1.38500000000E+09,-6.58720121511E+01
1.39000000000E+09,-6.63296523734E+01
1.39500000000E+09,-6.71024104461E+01
1.40000000000E+09,-6.67057972713E+01
1.40500000000E+09,-6.38887217474E+01
1.41000000000E+09,-6.26892790999E+01
1.41500000000E+09,-6.21503871987E+01
1.42000000000E+09,-6.21692207792E+01
1.42500000000E+09,-6.18366413254E+01
1.43000000000E+09,-6.30074978761E+01
1.43500000000E+09,-6.18839768711E+01
1.44000000000E+09,-6.04399981367E+01
1.44500000000E+09,-6.07677651162E+01
1.45000000000E+09,-5.80620629166E+01
1.45500000000E+09,-5.70699792024E+01
1.46000000000E+09,-5.52573354406E+01
1.46500000000E+09,-5.47860454138E+01
1.47000000000E+09,-5.53068811511E+01
1.47500000000E+09,-5.55020661872E+01
1.48000000000E+09,-5.54091120704E+01
1.48500000000E+09,-5.50794465848E+01
1.49000000000E+09,-5.24063325910E+01
1.49500000000E+09,-5.10621364948E+01
1.50000000000E+09,-4.91997639439E+01
1.50500000000E+09,-4.79000378073E+01
1.51000000000E+09,-4.91359479458E+01
1.51500000000E+09,-5.04992758863E+01
1.52000000000E+09,-4.95710434711E+01
1.52500000000E+09,-5.06875694948E+01
1.53000000000E+09,-5.07647663698E+01
1.53500000000E+09,-5.10402000582E+01
1.54000000000E+09,-5.31507545930E+01
1.54500000000E+09,-5.28735875957E+01
1.55000000000E+09,-5.31776955938E+01
1.55500000000E+09,-5.37837589542E+01
1.56000000000E+09,-5.36913420817E+01
1.56500000000E+09,-5.28998789777E+01
1.57000000000E+09,-5.33783540306E+01
1.57500000000E+09,-5.39997258912E+01
1.58000000000E+09,-5.55126541716E+01
1.58500000000E+09,-5.73503400597E+01
1.59000000000E+09,-5.76237798649E+01
1.59500000000E+09,-5.84877731882E+01
1.60000000000E+09,-5.78812260672E+01
1.60500000000E+09,-5.87595248497E+01
1.61000000000E+09,-5.95915712335E+01
1.61500000000E+09,-6.08589765861E+01
1.62000000000E+09,-6.00157165347E+01
1.62500000000E+09,-5.90905077254E+01
1.63000000000E+09,-5.90202902552E+01
1.63500000000E+09,-5.98813503805E+01
1.64000000000E+09,-6.10530841459E+01
1.64500000000E+09,-6.18374009329E+01
1.65000000000E+09,-6.11043714600E+01
1.65500000000E+09,-6.13468866261E+01
1.66000000000E+09,-6.17479295051E+01
1.66500000000E+09,-6.47115181971E+01
1.67000000000E+09,-6.45366609566E+01
1.67500000000E+09,-6.31397685760E+01
1.68000000000E+09,-6.30246249455E+01
1.68500000000E+09,-6.25427604075E+01
1.69000000000E+09,-6.23689306981E+01
1.69500000000E+09,-6.31295593971E+01
1.70000000000E+09,-6.31323262606E+01
1.70500000000E+09,-6.29678509802E+01
1.71000000000E+09,-6.25764533975E+01
1.71500000000E+09,-6.21819016734E+01
1.72000000000E+09,-6.30865295155E+01
1.72500000000E+09,-6.34723771257E+01
1.73000000000E+09,-6.45503283086E+01
1.73500000000E+09,-6.51388082235E+01
1.74000000000E+09,-6.51433532961E+01
1.74500000000E+09,-6.39815025915E+01
1.75000000000E+09,-6.28403077543E+01
1.75500000000E+09,-6.35480185241E+01
1.76000000000E+09,-6.41051236917E+01
1.76500000000E+09,-6.46660805485E+01
1.77000000000E+09,-6.43347580945E+01
1.77500000000E+09,-6.41764964737E+01
1.78000000000E+09,-6.39150379727E+01
1.78500000000E+09,-6.38597149706E+01
1.79000000000E+09,-6.40215013679E+01
1.79500000000E+09,-6.57208983403E+01
1.80000000000E+09,-6.97318724670E+01
1.80500000000E+09,-6.66364698209E+01
1.81000000000E+09,-6.65018319072E+01
1.81500000000E+09,-6.61033114732E+01
1.82000000000E+09,-6.71508197394E+01
1.82500000000E+09,-6.61178251394E+01
1.83000000000E+09,-6.68478590332E+01
1.83500000000E+09,-6.74402585334E+01
1.84000000000E+09,-6.67818272714E+01
1.84500000000E+09,-6.56156058038E+01
1.85000000000E+09,-6.59330344879E+01
1.85500000000E+09,-6.69773884673E+01
1.86000000000E+09,-6.91231105630E+01
1.86500000000E+09,-7.04643563141E+01
1.87000000000E+09,-6.83341261301E+01
1.87500000000E+09,-6.85598178484E+01
1.88000000000E+09,-6.83643360611E+01
1.88500000000E+09,-7.01206961817E+01
1.89000000000E+09,-6.98154432566E+01
1.89500000000E+09,-6.95333948836E+01
1.90000000000E+09,-6.97721471130E+01
1.90500000000E+09,-7.00742617947E+01
1.91000000000E+09,-6.95804628196E+01
1.91500000000E+09,-6.86401103901E+01
1.92000000000E+09,-7.05214884799E+01
1.92500000000E+09,-7.25627792280E+01
1.93000000000E+09,-7.28764384482E+01
1.93500000000E+09,-7.36818976306E+01
1.94000000000E+09,-7.30004340742E+01
1.94500000000E+09,-7.19772111013E+01
1.95000000000E+09,-7.12261886505E+01
1.95500000000E+09,-7.24495115488E+01
1.96000000000E+09,-7.25122739327E+01
1.96500000000E+09,-7.22293818092E+01
1.97000000000E+09,-7.07339727512E+01
1.97500000000E+09,-7.01903268161E+01
1.98000000000E+09,-7.01101662506E+01
1.98500000000E+09,-7.05347976668E+01
1.99000000000E+09,-7.30150602911E+01
