! CMT, C1220, 16058040, 17.2.0/1
! Date: 25/07/2018 12:59:52
! Stimulus(Hz),    S21(dB)
1.00000000000E+09,-9.51078432843E+01
1.00500000000E+09,-9.76464044083E+01
1.01000000000E+09,-9.09608338192E+01
1.01500000000E+09,-9.72301517391E+01
1.02000000000E+09,-8.24277736721E+01
1.02500000000E+09,-9.48609478082E+01
1.03000000000E+09,-8.76576224893E+01
1.03500000000E+09,-1.04636781972E+02
1.04000000000E+09,-9.57682031809E+01
1.04500000000E+09,-8.64397413001E+01
1.05000000000E+09,-9.41020988390E+01
1.05500000000E+09,-8.59140315978E+01
1.06000000000E+09,-9.52531920124E+01
1.06500000000E+09,-8.58973940733E+01
1.07000000000E+09,-8.96764426686E+01
1.07500000000E+09,-8.76352132585E+01
1.08000000000E+09,-8.64874990328E+01
1.08500000000E+09,-8.98042019190E+01
1.09000000000E+09,-8.73457911411E+01
1.09500000000E+09,-8.66245731833E+01
1.10000000000E+09,-8.80547385366E+01
1.10500000000E+09,-8.39531010172E+01
1.11000000000E+09,-8.61194769896E+01
1.11500000000E+09,-8.54221172647E+01
1.12000000000E+09,-8.88272388312E+01
1.12500000000E+09,-8.71726944359E+01
1.13000000000E+09,-8.85657012945E+01
1.13500000000E+09,-1.03141949255E+02
1.14000000000E+09,-1.07601640893E+02
1.14500000000E+09,-8.57011558491E+01
1.15000000000E+09,-9.47578665639E+01
1.15500000000E+09,-8.97900549480E+01
1.16000000000E+09,-8.53037097164E+01
1.16500000000E+09,-9.28847613422E+01
1.17000000000E+09,-8.87303508565E+01
1.17500000000E+09,-9.07296473464E+01
1.18000000000E+09,-8.50710500163E+01
1.18500000000E+09,-8.65721579854E+01
1.19000000000E+09,-8.22024139478E+01
1.19500000000E+09,-8.35550850564E+01
1.20000000000E+09,-8.17920761078E+01
1.20500000000E+09,-7.84284620501E+01
1.21000000000E+09,-8.24713924504E+01
1.21500000000E+09,-8.63501366365E+01
1.22000000000E+09,-8.71990896682E+01
1.22500000000E+09,-8.31931182166E+01
1.23000000000E+09,-8.26601403565E+01
1.23500000000E+09,-8.31415719394E+01
1.24000000000E+09,-8.39184854016E+01
1.24500000000E+09,-8.94743741215E+01
1.25000000000E+09,-8.12847551437E+01
1.25500000000E+09,-8.38353017880E+01
1.26000000000E+09,-7.90581085861E+01
1.26500000000E+09,-8.17361997603E+01
1.27000000000E+09,-7.95745625582E+01
1.27500000000E+09,-7.58642859108E+01
1.28000000000E+09,-7.72944606164E+01
1.28500000000E+09,-8.03522404391E+01
1.29000000000E+09,-7.81071837645E+01
1.29500000000E+09,-7.68557564624E+01
1.30000000000E+09,-8.16033244146E+01
1.30500000000E+09,-7.79326605516E+01
1.31000000000E+09,-7.82185288223E+01
1.31500000000E+09,-7.79772379366E+01
1.32000000000E+09,-7.97017403430E+01
1.32500000000E+09,-8.01964723006E+01
1.33000000000E+09,-7.94098268810E+01
1.33500000000E+09,-8.08657519230E+01
1.34000000000E+09,-7.46308169460E+01
1.34500000000E+09,-7.63680865198E+01
1.35000000000E+09,-7.48589811422E+01
1.35500000000E+09,-7.47101111579E+01
1.36000000000E+09,-7.66756924461E+01
1.36500000000E+09,-7.66163318251E+01
1.37000000000E+09,-7.10399564413E+01
1.37500000000E+09,-7.11778678023E+01
1.38000000000E+09,-7.10767842424E+01
1.38500000000E+09,-7.27396275090E+01
1.39000000000E+09,-7.35118619612E+01
1.39500000000E+09,-7.25447577278E+01
1.40000000000E+09,-6.90723777487E+01
1.40500000000E+09,-6.71179433966E+01
1.41000000000E+09,-6.45519346228E+01
1.41500000000E+09,-6.30798808604E+01
1.42000000000E+09,-6.37532453304E+01
1.42500000000E+09,-6.33261459088E+01
1.43000000000E+09,-6.19723323931E+01
1.43500000000E+09,-6.18039575557E+01
1.44000000000E+09,-6.06327382178E+01
1.44500000000E+09,-5.99633006621E+01
1.45000000000E+09,-6.03990659860E+01
1.45500000000E+09,-5.98954975991E+01
1.46000000000E+09,-5.71070937962E+01
1.46500000000E+09,-5.45464320563E+01
1.47000000000E+09,-5.36233155424E+01
1.47500000000E+09,-5.42023496075E+01
1.48000000000E+09,-5.40205230444E+01
1.48500000000E+09,-5.41356557842E+01
1.49000000000E+09,-5.47881712429E+01
1.49500000000E+09,-5.15673870483E+01
1.50000000000E+09,-5.06715867994E+01
1.50500000000E+09,-5.01180257054E+01
1.51000000000E+09,-4.87730754121E+01
1.51500000000E+09,-4.98725399268E+01
1.52000000000E+09,-5.00158775422E+01
1.52500000000E+09,-4.90710474673E+01
1.53000000000E+09,-4.92207034809E+01
1.53500000000E+09,-5.01697289157E+01
1.54000000000E+09,-5.04599871005E+01
1.54500000000E+09,-5.07258219916E+01
1.55000000000E+09,-5.14769280314E+01
1.55500000000E+09,-5.14771461277E+01
1.56000000000E+09,-5.25886957199E+01
1.56500000000E+09,-5.61814107361E+01
1.57000000000E+09,-5.82429012292E+01
1.57500000000E+09,-5.76649397939E+01
1.58000000000E+09,-5.67238687633E+01
1.58500000000E+09,-5.67131298606E+01
1.59000000000E+09,-5.75372837583E+01
1.59500000000E+09,-5.86532714763E+01
1.60000000000E+09,-6.11407011480E+01
1.60500000000E+09,-6.01900711587E+01
1.61000000000E+09,-5.90501095504E+01
1.61500000000E+09,-5.90169244090E+01
1.62000000000E+09,-5.94666236769E+01
1.62500000000E+09,-6.13182194848E+01
1.63000000000E+09,-6.41364912876E+01
1.63500000000E+09,-6.39328493021E+01
1.64000000000E+09,-6.42417554052E+01
1.64500000000E+09,-6.51141981024E+01
1.65000000000E+09,-6.66141312046E+01
1.65500000000E+09,-6.70542960563E+01
1.66000000000E+09,-6.72654536181E+01
1.66500000000E+09,-6.50618289492E+01
1.67000000000E+09,-6.49771069418E+01
1.67500000000E+09,-6.77212559501E+01
1.68000000000E+09,-6.90248516733E+01
1.68500000000E+09,-6.95197247708E+01
1.69000000000E+09,-6.97773331068E+01
1.69500000000E+09,-7.05735047766E+01
1.70000000000E+09,-7.00094075058E+01
1.70500000000E+09,-6.96535355143E+01
1.71000000000E+09,-7.09065831463E+01
1.71500000000E+09,-7.21788425422E+01
1.72000000000E+09,-7.56321542806E+01
1.72500000000E+09,-7.46673547405E+01
1.73000000000E+09,-7.50901268161E+01
1.73500000000E+09,-7.70481083402E+01
1.74000000000E+09,-7.43513082858E+01
1.74500000000E+09,-7.58131381734E+01
1.75000000000E+09,-7.61455383625E+01
1.75500000000E+09,-7.73326573486E+01
1.76000000000E+09,-7.60972081439E+01
1.76500000000E+09,-8.24506871033E+01
1.77000000000E+09,-8.30719593516E+01
1.77500000000E+09,-8.13250151938E+01
1.78000000000E+09,-8.04229006242E+01
1.78500000000E+09,-8.63630838351E+01
1.79000000000E+09,-7.89161586332E+01
1.79500000000E+09,-8.93233012142E+01
1.80000000000E+09,-7.58213873589E+01
1.80500000000E+09,-7.68200135855E+01
1.81000000000E+09,-7.28302794704E+01
1.81500000000E+09,-8.09421693528E+01
1.82000000000E+09,-8.61734487452E+01
1.82500000000E+09,-7.68031513187E+01
1.83000000000E+09,-8.37994019776E+01
1.83500000000E+09,-8.34245515432E+01
1.84000000000E+09,-8.41505401527E+01
1.84500000000E+09,-8.09363391177E+01
1.85000000000E+09,-7.74546583044E+01
1.85500000000E+09,-7.62128898544E+01
1.86000000000E+09,-7.81787916669E+01
1.86500000000E+09,-7.78120005304E+01
1.87000000000E+09,-8.46115470549E+01
1.87500000000E+09,-7.39728310823E+01
1.88000000000E+09,-7.70863139652E+01
1.88500000000E+09,-7.63339188887E+01
1.89000000000E+09,-7.68161408563E+01
1.89500000000E+09,-8.22622662174E+01
1.90000000000E+09,-7.96902634752E+01
1.90500000000E+09,-7.79437823282E+01
1.91000000000E+09,-7.53092164592E+01
1.91500000000E+09,-7.69163283505E+01
1.92000000000E+09,-7.75399295281E+01
1.92500000000E+09,-7.86388067705E+01
1.93000000000E+09,-7.93194436001E+01
1.93500000000E+09,-7.75625772271E+01
1.94000000000E+09,-7.59426319129E+01
1.94500000000E+09,-7.62928824728E+01
1.95000000000E+09,-7.62198557030E+01
1.95500000000E+09,-7.83285340167E+01
1.96000000000E+09,-8.00825446878E+01
1.96500000000E+09,-8.04112769439E+01
1.97000000000E+09,-8.03427733042E+01
1.97500000000E+09,-7.95231167669E+01
1.98000000000E+09,-7.75562220425E+01
1.98500000000E+09,-7.63919844018E+01
1.99000000000E+09,-7.75554810443E+01
1.99500000000E+09,-7.81566961287E+01
2.00000000000E+09,-7.93607394450E+01
